City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Abington,"16,448",23,4,5,3,11,153,23,122,8,1
Acton,"23,780",32,0,6,2,24,66,13,50,3,0
Acushnet,"10,533",12,0,5,0,7,35,14,19,2,0
Adams,"8,028",26,0,10,2,14,94,34,59,1,2
Agawam,"28,736",82,0,13,8,61,376,133,228,15,1
Amesbury,"17,595",25,0,3,3,19,132,18,107,7,0
Amherst,"39,603",99,0,28,2,69,173,55,103,15,2
Andover,"36,547",8,0,6,1,1,215,28,180,7,0
Aquinnah,328,2,0,0,0,2,0,0,0,0,0
Arlington,"45,614",34,0,5,8,21,167,16,139,12,3
Ashburnham,"6,330",8,0,2,0,6,28,7,18,3,0
Ashland,"17,742",21,0,4,1,16,77,9,60,8,0
Athol,"11,679",47,1,7,2,37,101,9,88,4,1
Attleboro,"44,959",123,0,27,14,82,522,69,427,26,1
Auburn,"16,724",28,0,0,1,27,305,29,263,13,3
Avon3,"4,504",10,0,1,2,7,111,9,98,4,
Ayer,"8,192",14,0,1,1,12,57,14,40,3,0
Barnstable,"44,032",178,2,22,14,140,425,61,350,14,7
Barre,"5,573",16,0,1,1,14,18,1,10,7,0
Becket3,"1,724",3,0,0,0,3,4,1,3,0,0
Bedford,"14,193",7,0,0,1,6,40,2,37,1,0
Belchertown,"15,195",16,0,1,1,14,55,12,38,5,0
Bellingham,"17,143",25,0,3,2,20,194,16,170,8,2
Belmont,"26,331",6,0,1,0,5,179,76,98,5,2
Berkley,"6,799",8,0,2,0,6,19,9,9,1,0
Berlin,"3,241",4,0,2,1,1,31,4,26,1,0
Bernardston,"2,113",5,0,3,0,2,12,3,9,0,0
Beverly,"42,317",47,0,4,2,41,206,19,177,10,1
Billerica,"43,882",22,0,2,2,18,169,21,135,13,0
Blackstone,"9,294",13,0,1,2,10,21,5,12,4,0
Bolton,"5,393",2,0,0,0,2,25,2,23,0,0
"Boston3,4","698,941","4,244",42,231,"1,039","2,932",,"1,703","10,590",,
Bourne,"19,734",54,0,13,2,39,213,43,157,13,0
Boxborough,"6,540",4,0,0,0,4,26,1,21,4,0
Boxford,"8,352",0,0,0,0,0,13,2,11,0,0
Boylston,"4,694",4,0,0,0,4,2,0,2,0,0
Braintree,"37,145",45,0,3,4,38,486,52,417,17,1
Brewster,"9,725",25,0,4,0,21,38,9,28,1,0
Bridgewater,"27,270",59,0,4,3,52,95,23,62,10,0
Brockton,"95,287",782,5,63,148,566,"1,853",248,"1,317",288,16
Brookfield,"3,440",6,0,2,1,3,26,4,20,2,0
Brookline,"58,928",57,1,2,14,40,503,44,453,6,0
Burlington,"29,082",45,0,12,3,30,451,15,424,12,0
Cambridge,"119,908",334,1,26,67,240,"1,983",161,"1,724",98,8
Canton,"23,706",85,0,0,5,80,157,18,132,7,1
Carlisle,"5,255",1,0,1,0,0,22,4,18,0,0
Carver,"11,721",26,0,6,3,17,68,13,49,6,0
Charlton,"13,679",8,0,2,0,6,55,16,36,3,1
Chatham,"6,117",8,0,2,1,5,59,12,47,0,0
Chelmsford,"35,218",34,0,4,1,29,397,17,364,16,2
Chelsea,"40,496",270,0,27,65,178,594,105,406,83,2
Cheshire,"3,133",1,0,0,0,1,1,0,0,1,0
Chicopee,"55,293",340,2,35,57,246,"1,320",245,971,104,4
Chilmark,920,3,0,0,0,3,6,0,6,0,0
Clinton,"13,964",4,1,0,0,3,14,1,11,2,0
Cohasset,"8,609",3,0,0,0,3,53,10,40,3,0
Concord,"19,253",17,0,4,1,12,89,6,82,1,1
Dalton,"6,546",6,0,1,0,5,22,8,12,2,1
Danvers,"27,664",39,0,2,4,33,357,26,315,16,3
Dartmouth,"34,035",77,0,4,16,57,502,40,444,18,1
Dedham,"25,203",7,0,5,1,1,327,8,297,22,0
Deerfield,"5,032",5,0,2,0,3,43,15,27,1,1
Dennis,"13,738",88,0,17,1,70,194,45,144,5,0
Douglas,"8,946",8,0,2,1,5,24,6,15,3,0
Dover,"6,118",1,0,0,0,1,13,3,10,0,0
Dracut,"31,786",30,0,2,4,24,141,24,107,10,1
Dudley,"11,754",32,0,7,2,23,52,9,38,5,1
Dunstable,"3,405",3,0,0,0,3,7,3,3,1,0
Duxbury,"15,934",9,0,2,0,7,57,9,47,1,1
East Bridgewater,"14,472",27,0,3,2,22,64,12,46,6,2
East Brookfield,"2,202",4,0,0,0,4,7,0,3,4,0
Eastham,"4,823",5,0,2,0,3,38,2,35,1,0
Easthampton,"15,979",37,0,7,2,28,156,25,122,9,0
East Longmeadow,"16,269",24,1,6,6,11,172,28,132,12,2
Easton,"25,079",43,0,9,3,31,145,24,110,11,2
Edgartown,"4,362",20,0,3,1,16,60,9,47,4,0
Erving,"1,771",0,0,0,0,0,15,5,9,1,0
Everett,"47,195",245,3,19,19,204,623,104,445,74,1
Fairhaven,"15,996",51,0,11,2,38,214,29,178,7,0
Fall River,"89,066",773,5,51,113,604,"1,074",412,499,163,21
Falmouth,"30,717",110,0,17,5,88,357,112,231,14,3
Fitchburg,"40,621",217,1,26,36,154,538,94,399,45,3
Foxborough,"17,631",35,0,5,4,26,158,18,122,18,1
Framingham,"73,127",297,1,20,29,247,800,158,609,33,2
Franklin,"33,149",2,0,0,1,1,41,5,31,5,0
Freetown,"9,388",15,0,5,2,8,51,16,28,7,1
Gardner,"20,628",70,0,13,8,49,309,60,228,21,2
Georgetown,"8,777",2,0,0,0,2,33,5,27,1,0
Gill,"1,490",0,0,0,0,0,10,1,9,0,0
Gloucester,"30,362",58,0,7,1,50,164,21,130,13,0
Goshen,"1,065",0,0,0,0,0,4,2,2,0,0
Grafton,"18,880",15,0,4,1,10,46,10,34,2,0
Granby,"6,360",9,0,1,0,8,21,3,15,3,0
Great Barrington,"6,822",11,0,2,1,8,28,5,23,0,2
Greenfield,"17,464",84,0,11,10,63,342,84,248,10,0
Groton,"11,388",8,1,5,0,2,23,4,19,0,0
Groveland,"6,846",2,1,0,0,1,9,1,6,2,0
Hadley,"5,358",26,0,7,0,19,170,6,157,7,0
Halifax,"7,874",8,0,1,0,7,51,9,37,5,1
Hamilton,"8,075",1,0,0,0,1,26,4,19,3,0
Hampden,"5,199",1,0,0,0,1,20,6,13,1,0
Hanover,"14,485",3,0,0,0,3,121,4,116,1,0
Hanson,"10,876",17,0,1,2,14,47,9,37,1,0
Hardwick,"3,039",14,0,2,0,12,15,4,11,0,0
Harvard,"6,569",5,0,3,0,2,26,6,20,0,0
Harwich,"12,028",22,0,2,1,19,103,26,72,5,1
Hatfield,"3,286",2,0,0,0,2,35,12,23,0,0
Haverhill,"63,935",335,1,15,15,304,838,179,570,89,7
Hingham,"23,960",30,0,6,0,24,183,45,134,4,0
Holbrook,"10,990",33,0,4,4,25,129,26,94,9,0
Holland,"2,484",2,0,2,0,0,9,1,5,3,0
Holliston,"14,996",13,0,0,1,12,41,8,31,2,0
Holyoke,"40,178",345,4,36,53,252,"1,494",213,"1,184",97,4
Hopedale,"5,929",12,0,1,1,10,13,2,11,0,0
Hopkinton,"18,585",0,0,0,0,0,30,1,28,1,0
Hull,"10,402",47,0,4,1,42,81,7,70,4,0
Ipswich,"14,095",19,0,8,2,9,46,6,33,7,0
Kingston,"13,758",21,0,4,3,14,108,8,96,4,1
Lakeville,"11,419",16,0,3,1,12,84,20,62,2,0
Lancaster,"8,136",5,0,0,0,5,43,7,32,4,0
Lawrence,"80,243",541,3,32,87,419,954,113,677,164,1
Lee,"5,686",10,0,3,0,7,65,5,58,2,0
Leicester,"11,368",23,0,2,1,20,232,9,222,1,1
Lenox,"4,951",7,0,2,0,5,71,11,59,1,0
Leominster,"41,631",239,0,31,20,188,599,64,495,40,2
Lexington,"33,824",17,1,2,0,14,77,5,72,0,0
Lincoln,"6,798",4,0,1,0,3,16,2,14,0,0
Littleton,"10,334",11,0,5,0,6,48,5,43,0,0
Longmeadow,"15,737",10,0,3,0,7,120,28,82,10,1
Lowell,"111,423",405,4,20,100,281,"1,652",292,"1,190",170,10
Ludlow,"21,395",63,0,5,4,54,199,37,142,20,1
Lunenburg,"11,781",23,0,4,4,15,128,13,115,0,0
Lynn,"94,449",465,8,33,103,321,"1,347",302,908,137,1
Lynnfield,"13,130",2,0,0,0,2,77,8,68,1,0
Malden,"60,746",162,1,9,26,126,719,103,521,95,0
Manchester-by-the-Sea,"5,423",2,0,0,0,2,24,4,19,1,0
Mansfield,"23,987",65,0,11,5,49,167,15,144,8,0
Marblehead,"20,574",22,0,7,0,15,114,10,99,5,0
Marion,"5,132",4,0,1,0,3,32,4,28,0,0
Marlborough,"39,673",149,0,17,15,117,530,70,435,25,1
Marshfield,"25,794",32,0,2,3,27,71,9,56,6,0
Mashpee,"14,094",39,0,6,0,33,133,17,104,12,0
Mattapoisett,"6,372",12,0,1,0,11,40,5,33,2,0
Maynard,"10,654",24,0,3,2,19,39,7,29,3,0
Medford,"57,484",116,0,7,17,92,526,51,442,33,1
Medway,"13,405",6,0,0,0,6,27,6,21,0,0
Melrose,"28,120",32,0,0,3,29,172,25,131,16,0
Mendon,"6,176",3,0,0,0,3,16,2,9,5,0
Merrimac,"7,001",2,0,0,0,2,15,5,9,1,0
Methuen,"50,727",95,1,1,11,82,552,58,446,48,0
Middleboro,"25,183",128,0,17,9,102,188,14,151,23,5
Middleton,"10,113",5,0,0,0,5,41,3,35,3,0
Milford,"29,015",48,0,11,4,33,171,38,120,13,2
Millbury,"13,837",24,0,2,1,21,139,13,115,11,1
Millville,"3,249",5,0,3,0,2,14,1,13,0,0
Milton,"27,471",11,0,2,5,4,61,13,40,8,0
Monson,"8,851",27,0,4,0,23,43,12,24,7,0
Montague,"8,298",49,0,4,4,41,84,18,64,2,0
Nahant,"3,511",12,0,1,0,11,12,2,9,1,0
Nantucket,"11,393",27,0,2,0,25,154,17,133,4,1
Natick,"36,358",37,0,7,4,26,383,22,350,11,2
Needham,"31,275",10,0,2,0,8,135,22,112,1,1
New Bedford,"94,613",628,3,66,176,383,"2,127",465,"1,513",149,5
New Braintree,"1,024",3,0,0,0,3,4,2,1,1,0
Newburyport,"18,158",23,0,5,0,18,126,13,111,2,0
Newton,"88,658",49,0,4,10,35,510,75,424,11,1
Norfolk,"11,992",1,0,0,0,1,23,3,20,0,0
